filename,width,height,class,xmin,ymin,xmax,ymax
jtl9020.JPEG,672,376,person,296,0,395,367
jtl21350.JPEG,640,480,person,332,56,414,403
positivos380.jpg,227,227,person,148,1,214,192
jtl25650.JPEG,640,480,person,246,37,352,453
jtl28360.JPEG,640,480,person,46,53,146,389
jtl37240.JPEG,672,376,person,324,0,414,305
jtl33740.JPEG,640,480,person,274,39,374,429
jtl29730.JPEG,640,480,person,0,41,64,431
jtl36610.JPEG,672,376,person,283,0,396,363
jtl1440.JPEG,672,376,person,272,82,312,284
jtl32310.JPEG,640,480,person,258,48,358,438
jtl5140.JPEG,640,480,person,315,34,415,424
jtl20700.JPEG,640,480,person,189,44,277,406
jtl8470.JPEG,672,376,person,358,18,425,309
positivos1199.jpg,227,227,person,1,1,87,226
jtl24200.JPEG,640,480,person,331,28,431,420
positivos3.jpg,227,227,person,88,6,144,169
positivos1827.jpg,227,227,person,52,1,141,146
jtl11250.JPEG,672,376,person,323,0,417,363
jtl31180.JPEG,640,480,person,310,5,410,395
jtl43270.JPEG,672,376,person,324,0,417,354
jtl15750.JPEG,640,480,person,186,46,286,436
jtl35480.JPEG,672,376,person,345,22,421,300
jtl47770.JPEG,672,376,person,302,0,405,363
positivos425.jpg,227,227,person,54,1,190,227
positivos425.jpg,227,227,person,1,1,124,227
jtl27090.JPEG,640,480,person,298,35,398,425
jtl18260.JPEG,640,480,person,269,28,387,411
positivos1166.jpg,227,227,person,53,1,146,220
jtl55360.JPEG,672,376,person,282,9,403,341
jtl23590.JPEG,640,480,person,218,50,330,421
jtl40.JPEG,672,376,person,211,0,283,363
jtl51660.JPEG,672,376,person,314,0,413,332
positivos1628.jpg,227,227,person,25,1,173,227
jtl51890.JPEG,672,376,person,269,4,363,336
jtl19630.JPEG,640,480,person,327,9,424,422
jtl50230.JPEG,672,376,person,327,31,408,291
positivos419.jpg,227,227,person,67,1,158,215
jtl42620.JPEG,672,376,person,394,13,470,268
jtl7780.JPEG,672,376,person,237,40,322,313
jtl2820.JPEG,672,376,person,282,0,372,354
jtl47980.JPEG,672,376,person,461,0,564,332
jtl10600.JPEG,672,376,person,255,0,336,367
jtl46320.JPEG,672,376,person,358,0,452,327
jtl3280.JPEG,672,376,person,282,63,340,291
jtl830.JPEG,672,376,person,317,28,377,339
jtl14300.JPEG,672,376,person,254,0,335,367
jtl33230.JPEG,640,480,person,258,47,358,437
jtl4060.JPEG,640,480,person,300,38,400,428
jtl28610.JPEG,640,480,person,285,0,385,390
jtl37730.JPEG,672,376,person,233,0,327,349
jtl32890.JPEG,640,480,person,355,36,455,426
jtl25320.JPEG,640,480,person,262,83,344,406
positivos58.jpg,227,227,person,14,1,107,197
jtl24770.JPEG,640,480,person,462,24,559,407
jtl8100.JPEG,672,376,person,345,31,408,313
jtl52180.JPEG,672,376,person,300,0,361,345
positivos70.jpg,227,227,person,61,1,130,191
jtl20270.JPEG,640,480,person,288,37,389,417
jtl5430.JPEG,640,480,person,151,34,251,424
jtl40590.JPEG,672,376,person,308,0,447,367
jtl32660.JPEG,640,480,person,356,47,456,437
jtl29240.JPEG,640,480,person,272,22,372,412
jtl36360.JPEG,672,376,person,300,9,394,349
jtl51310.JPEG,672,376,person,340,9,421,341
positivos627.jpg,227,227,person,13,1,208,227
jtl55610.JPEG,672,376,person,388,39,473,308
positivos1416.jpg,227,227,person,1,1,157,227
jtl18710.JPEG,640,480,person,296,67,384,381
positivos155.jpg,227,227,person,151,26,186,169
jtl47200.JPEG,672,376,person,338,3,459,335
positivos1402.jpg,227,227,person,92,1,227,227
jtl15220.JPEG,672,376,person,332,0,448,367
jtl14880.JPEG,672,376,person,321,0,527,367
jtl43700.JPEG,672,376,person,170,4,273,340
positivos1364.jpg,227,227,person,47,1,131,223
jtl3900.JPEG,640,480,person,201,34,301,424
jtl11720.JPEG,672,376,person,309,13,417,358
jtl14670.JPEG,672,376,person,323,31,404,367
jtl10370.JPEG,672,376,person,435,4,529,367
positivos2123.jpg,227,227,person,1,1,107,227
jtl50740.JPEG,672,376,person,218,37,290,346
positivos169.jpg,227,227,person,104,11,152,176
jtl19340.JPEG,640,480,person,316,2,413,415
jtl39090.JPEG,672,376,person,336,0,435,314
jtl54240.JPEG,672,376,person,302,0,374,358
positivos1358.jpg,227,227,person,77,1,227,227
